Jawaban Tanpa Stopword Not Tokenization,Manual 1,Manual 2,Manual 3,Rata Manual
bluetooth peralatan media komunikasi menghubungkan perangkat komunikasi perangkat komunikasi bluetooth handphone komputer pc tablet lainlain,30.0,35.0,25.0,30.0
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,85.0,75.0,63.333333333333336
menstranfer file,18.0,25.0,25.0,22.666666666666668
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,85.0,75.0,63.333333333333336
transfer hape,10.0,25.0,10.0,15.0
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,75.0,50.0,51.666666666666664
bluetooth jaringan pribadi kabel dipakai tukarmenukar informasi perangkat,50.0,70.0,50.0,56.666666666666664
bluetooth teknologi nirkabel kabel menyambungkan perangkat gelombang radio frekuensi rendah bluetooth gelombang radio omni direksional menembus dinding perangkat memiliki bluetooth area tersambung digabungkan seutas kabel bluetooth menyediakan transfer data 720 kbps jarak 40 meter,40.0,70.0,50.0,53.333333333333336
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan spesifiksi peralatan bluetooth dikembangkan didistribusikan kelompok bluetooth special interest group,50.0,85.0,75.0,70.0
bluetooth peralatan media komunikasi menghubungkan perangkat komunikasi perangkat komunikasi bluetooth handphone komputer pc tablet lainlain fungsi bluetooth mempermudah berbagi sharing file audio menggantikan penggunaan kabel lainlain perangkat bluetooth,38.0,85.0,75.0,66.0
bluetooth teknologi jaringan kabel berjarak pendek menghubungkan 2 alat,32.0,30.0,25.0,29.0
jaringan pengiriman data,16.0,15.0,25.0,18.666666666666668
alat tranfer file terbatas jarak,20.0,30.0,25.0,25.0
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,75.0,50.0,51.666666666666664
teknologi sinyal menghubungkan perangkat pengiriman penerimaan data,25.0,40.0,25.0,30.0
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel,28.0,40.0,25.0,31.0
peralatan media komunikasi menghubungkan perangkat komunikasi perangkat komunikasi bluetooth handphone komputer pc tablet lainlain,28.0,35.0,25.0,29.333333333333332
menghubungkan dipakai tukar menukar informasi peralatan peralatan,30.0,60.0,50.0,46.666666666666664
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan spesifiksi peralatan bluetooth dikembangkan didistribusikan kelompok bluetooth special interest group,35.0,85.0,50.0,56.666666666666664
menstransfer data ponsel,10.0,25.0,10.0,15.0
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,80.0,50.0,53.333333333333336
bluetooth media transfer data,28.0,25.0,25.0,26.0
bluetooth peralatan media komunikasi menghubungkan perangkat komunikasi perangkat komunikasi,33.0,30.0,25.0,29.333333333333332
blue biru tooth gigi gigi biru,0.0,0.0,0.0,1.0
bluetooth spesifikasi industri jaringgan kawasan pribadi,12.0,20.0,25.0,19.0
bluetooth spesifikasi industri jaringan kawasan pribadi pan kabel berfungsi tukar menukar informasi gadget memiliki konektivitas bluetooth,28.0,60.0,50.0,46.0
bluetooth gigi biru menghubungan perangkat elektronik bertukar data,28.0,30.0,25.0,27.666666666666668
penghubung nirkabel device jarak jangkauan terbatas sempit,8.0,10.0,10.0,9.333333333333334
spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,65.0,25.0,40.0
fitur transfer data jarak koneksi internet,18.0,20.0,25.0,21.0
bluetooth media pengiriman frequensi,20.0,25.0,25.0,23.333333333333332
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,65.0,50.0,48.333333333333336
spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,65.0,50.0,48.333333333333336
bluetuooth software mentrasnfer data peralatan peralatan bantuan kabel,38.0,30.0,25.0,31.0
bluebiru toothgigi gigi biru,0.0,0.0,0.0,1.0
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,40.0,25.0,31.666666666666668
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel,28.0,30.0,25.0,27.666666666666668
media share data kabel,20.0,20.0,25.0,21.666666666666668
bluetooth spesifikasi industri jaringan pribadi kabel,26.0,25.0,25.0,25.333333333333332
bluetooth media berbagi share data,28.0,25.0,25.0,26.0
sisstem berfungsi transfer file data kabel,30.0,25.0,25.0,26.666666666666668
bluetooth spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,45.0,50.0,41.666666666666664
mengirim mentrasfer data file,28.0,30.0,25.0,27.666666666666668
bluetooth peralatan media komunikasi menghubungkan perangkat komunikasi perangkat komunikasi bluetooth handphone komputer pc tablet lainlain fungsi bluetooth mempermudah berbagi sharing file audio menggantikan penggunaan kabel lainlain perangkat bluetooth,40.0,55.0,50.0,48.333333333333336
teknologi menghubungkan dipakai tukarmenukar informasi peralatanperalatan,20.0,35.0,25.0,26.666666666666668
bluetooth personal area network terhubung jarak meter pengaksesan hubungan jaringan teknologi infra red,15.0,15.0,25.0,18.333333333333332
spesifikasi industri jaringan kawasan pribadi personal area networks pan kabel bluetooth menghubungkan dipakai tukarmenukar informasi peralatanperalatan,30.0,45.0,50.0,41.666666666666664
teknologi komunikasi wireless kabel beroperasi pita frekuensi 24 ghz unlicensed ism industrial scientific and medical frequency hopping tranceiver menyediakan layanan komunikasi data suara realtime hosthost bluetooth jarak jangkauan layanan terbatas 10 meter,20.0,35.0,25.0,26.666666666666668
transfer data file data,33.0,30.0,25.0,29.333333333333332
bluetooth koneksi bluetooth kabel,28.0,15.0,25.0,22.666666666666668
